,referralId,reasons.count,reasons.items,venue.id,venue.name,venue.location.address,venue.location.crossStreet,venue.location.lat,venue.location.lng,venue.location.labeledLatLngs,venue.location.cc,venue.location.city,venue.location.state,venue.location.country,venue.location.formattedAddress,venue.categories,venue.photos.count,venue.photos.groups,venue.location.postalCode,venue.location.neighborhood,venue.venuePage.id,flags.outsideRadius
22,e-0-4ab533aef964a520387320e3-22,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4ab533aef964a520387320e3,Waves Coffee House,1-4250 Kingsway,at Olive Ave,49.231794667881886,-123.00947418220305,"[{'label': 'display', 'lat': 49.231794667881886, 'lng': -123.00947418220305}]",CA,Burnaby,BC,Canada,"['1-4250 Kingsway (at Olive Ave)', 'Burnaby BC V5H 2T7', 'Canada']","[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",0,[],V5H 2T7,,,
23,e-0-573b2c2e38faeff59fd2ba1e-23,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",573b2c2e38faeff59fd2ba1e,Bistro Verde,799 Robson Street,at Howe Street,49.28202467955721,-123.12022268772125,"[{'label': 'display', 'lat': 49.28202467955721, 'lng': -123.12022268772125}]",CA,Vancouver,BC,Canada,"['799 Robson Street (at Howe Street)', 'Vancouver BC V7Y 0A2', 'Canada']","[{'id': '4bf58dd8d48988d16d941735', 'name': 'Café', 'pluralName': 'Cafés', 'shortName': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}, 'primary': True}]",0,[],V7Y 0A2,,,
24,e-0-4b499612f964a520807126e3-24,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b499612f964a520807126e3,Tim Hortons,756 Davie St,at Howe St.,49.2774694,-123.1272225,"[{'label': 'display', 'lat': 49.2774694, 'lng': -123.1272225}]",CA,Vancouver,BC,Canada,"['756 Davie St (at Howe St.)', 'Vancouver BC V6G 1B6', 'Canada']","[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",0,[],V6G 1B6,,,
25,e-0-4ca35b977f84224bcb18c458-25,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4ca35b977f84224bcb18c458,Tim Hortons,2747 Mountain Hwy,at E 27th St.,49.3337508,-123.0381971,"[{'label': 'display', 'lat': 49.3337508, 'lng': -123.0381971}]",CA,North Vancouver,BC,Canada,"['2747 Mountain Hwy (at E 27th St.)', 'North Vancouver BC V7J 2N7', 'Canada']","[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",0,[],V7J 2N7,,,
26,e-0-556ce39f498e5cf79275c731-26,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",556ce39f498e5cf79275c731,Tim Hortons,3451 Kingsway,Tyne St,49.232265190821444,-123.0311881005764,"[{'label': 'display', 'lat': 49.232265190821444, 'lng': -123.0311881005764}]",CA,Vancouver,BC,Canada,"['3451 Kingsway (Tyne St)', 'Vancouver BC V5R 5L3', 'Canada']","[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",0,[],V5R 5L3,,,
27,e-0-4b3275d7f964a5204f0c25e3-27,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b3275d7f964a5204f0c25e3,Tim Hortons,3463 Dunbar St,,49.25608894224543,-123.18558706909243,"[{'label': 'display', 'lat': 49.25608894224543, 'lng': -123.18558706909243}]",CA,Vancouver,BC,Canada,"['3463 Dunbar St', 'Vancouver BC V6S 2C3', 'Canada']","[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",0,[],V6S 2C3,,,
28,e-0-58b092e0951e7d0a63d71bed-28,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",58b092e0951e7d0a63d71bed,Loafe Café,6163 University Boulevard,,49.265903,-123.250335,"[{'label': 'display', 'lat': 49.265903, 'lng': -123.250335}]",CA,Vancouver,BC,Canada,"['6163 University Boulevard', 'Vancouver BC V6T 1Z1', 'Canada']","[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",0,[],V6T 1Z1,,,
29,e-0-4b9c01a1f964a520f83f36e3-29,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b9c01a1f964a520f83f36e3,Tim Hortons / Esso,2001 Kingsway,at Victoria Dr,49.2455325224701,-123.064790815114,"[{'label': 'display', 'lat': 49.2455325224701, 'lng': -123.064790815114}]",CA,Vancouver,BC,Canada,"['2001 Kingsway (at Victoria Dr)', 'Vancouver BC V5N 2T2', 'Canada']","[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",0,[],V5N 2T2,,,
30,e-0-59ab21ff46e1b601b125e9a3-30,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",59ab21ff46e1b601b125e9a3,La Forêt,6848 Jubilee Ave,Imperial,49.221475020408,-122.99539477244912,"[{'label': 'display', 'lat': 49.221475020408, 'lng': -122.99539477244912}]",CA,Burnaby,BC,Canada,"['6848 Jubilee Ave (Imperial)', 'Burnaby BC V5J 4B3', 'Canada']","[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",0,[],V5J 4B3,,,
31,e-0-4aa9212ff964a520185220e3-31,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4aa9212ff964a520185220e3,Starbucks,2035 Yukon St,at W 2nd Ave,49.267179,-123.113134,"[{'label': 'display', 'lat': 49.267179, 'lng': -123.113134}]",CA,Vancouver,BC,Canada,"['2035 Yukon St (at W 2nd Ave)', 'Vancouver BC V5Y 3W3', 'Canada']","[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",0,[],V5Y 3W3,,,
